Variables,Site,Tide,Value_mean,Value_variance,Value_sd
NN,BP,High,1.2484210526315789,2.029365007112376,1.4245578286304756
NN,BP,Low,5.800571428571429,71.38689966386555,8.449076852761227
NN,W,High,0.17930232558139536,0.003692358803986711,0.0607647825963914
NN,W,Low,1.1166666666666667,4.043413008130082,2.010823962491516
percent_sgd,BP,High,1.3440275751578947,0.9435407058939169,0.971360234873714
percent_sgd,BP,Low,3.7847786973142856,22.291963095051855,4.721436549933913
percent_sgd,W,High,0.40132804518604653,0.04707328837721774,0.2169637950839212
percent_sgd,W,Low,3.146548541857143,26.720189019061813,5.169157476713377
pH,BP,High,8.105372554447369,0.025709069759777325,0.160340480727037
pH,BP,Low,8.065673841171428,0.002596150060459288,0.050952429387216544
pH,W,High,8.008697674418604,0.006645739756367657,0.08152140673692805
pH,W,Low,7.959261904761905,0.0015321980255516847,0.039143301158074094
Phosphate,BP,High,0.1842105263157895,0.0018466571834992887,0.042972749312782964
Phosphate,BP,Low,0.266,0.042630588235294115,0.2064717613507816
Phosphate,W,High,0.1144186046511628,3.776301218161684e-4,0.01943270752664611
Phosphate,W,Low,0.17166666666666666,0.013926422764227644,0.11801026550358933
Salinity,BP,High,34.271781930526316,0.10352087895236438,0.32174660674568795
Salinity,BP,Low,33.463324508285716,2.4457700694881606,1.5638957987948432
Salinity,W,High,34.544652286046514,0.005446989991027636,0.07380372613240903
Salinity,W,Low,33.610821354047616,3.091872460586572,1.7583721052685555
Silicate,BP,High,10.67157894736842,59.48420284495022,7.712600264823156
Silicate,BP,Low,30.051142857142857,1405.365604537815,37.48820620592315
Silicate,W,High,3.106279069767442,2.8200477297895903,1.6792997736525752
Silicate,W,Low,24.354285714285716,1600.7423958188153,40.00927887151698
TA,BP,High,2252.7459973157893,3615.207923146523,60.12659913171976
TA,BP,Low,2281.0683379142856,2700.995234188377,51.97109999017124
TA,W,High,2276.765083744186,585.916901722599,24.2057204338685
TA,W,Low,2253.016885857143,1665.2614114824935,40.80761462622501
Temp_in,BP,High,24.922080776578948,1.4229990526855287,1.1928952396105572
Temp_in,BP,Low,24.39036402714286,0.09059972467898657,0.3009978815191007
Temp_in,W,High,24.66527037372093,0.7260496519046301,0.8520854721825916
Temp_in,W,Low,24.039599580714285,0.23183009042359684,0.4814873730676609
